frame,Ankle.R_x,Ankle.R_y,Ankle.R_z,Knee.R_x,Knee.R_y,Knee.R_z,Hip.R_x,Hip.R_y,Hip.R_z,Hip.L_x,Hip.L_y,Hip.L_z,Knee.L_x,Knee.L_y,Knee.L_z,Ankle.L_x,Ankle.L_y,Ankle.L_z,Wrist.R_x,Wrist.R_y,Wrist.R_z,Elbow.R_x,Elbow.R_y,Elbow.R_z,Shoulder.R_x,Shoulder.R_y,Shoulder.R_z,Shoulder.L_x,Shoulder.L_y,Shoulder.L_z,Elbow.L_x,Elbow.L_y,Elbow.L_z,Wrist.L_x,Wrist.L_y,Wrist.L_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,Nose_x,Nose_y,Nose_z,Eye.L_x,Eye.L_y,Eye.L_z,Eye.R_x,Eye.R_y,Eye.R_z,Ear.L_x,Ear.L_y,Ear.L_z,Ear.R_x,Ear.R_y,Ear.R_z,hip.Center_x,hip.Center_y,hip.Center_z
1,0.037325166,-0.009520141,-0.005483334,0.25142926,0.21041188,0.2939615,-0.10826571,0.224683,0.07908569,0.03474673,0.29804924,-0.15602377,0.32938920000000005,0.39570782,0.05361783,0.17302307,0.038347106,-0.14522761,-0.049099606,-0.051840345999999995,0.27905804,-0.03252187,0.24098861,0.29564095,0.093986906,0.52292204,0.26646924,0.27114195,0.5575745,0.007101464,0.36893317,0.31041145,-0.14295337,0.50103354,0.054725252,-0.10811387,0.22028488,0.59290016,0.15901324,0.36431557,0.7554145,0.21384009999999998,0.41756636,0.6044299,0.20056883,0.41443333,0.6620925,0.17184004,0.40218633,0.6517863,0.23990151,0.33197924,0.70980084,0.1231654,0.30300814,0.6882838000000001,0.27546948,-0.036759492009878166,0.2613661289215088,-0.038469038903713226
2,-0.03714151,-0.01569103,0.027340699,0.25620679999999996,0.15382007,0.28817865,-0.10509646,0.23787652,0.08285901,0.03389498,0.29261816,-0.15893069,0.34787616,0.36480185,0.028181791,0.18495364,-0.006485124,-0.14155138,-0.03699287,-0.043314304000000005,0.26326588,-0.010064745,0.24691558,0.28756568,0.12740937,0.5210036,0.25628555,0.2963768,0.54188925,-0.008939790999999999,0.37460896,0.29216778,-0.16363716,0.49250346,0.030638117000000003,-0.13005060000000002,0.2530332,0.58116466,0.1447839,0.4072795,0.73299134,0.1995086,0.44969323,0.5790409000000001,0.1871007,0.4510566,0.6363878000000001,0.15843067,0.43718573,0.62739635,0.22612420000000003,0.37290996,0.68957937,0.10824774,0.34091768,0.67053837,0.26042384,-0.03560074046254158,0.2652473449707031,-0.038035839796066284
3,-0.045153182,-0.01726394,0.044262283,0.2517862,0.16744816,0.28672332,-0.104565375,0.2531892,0.08309005,0.036744375,0.27885824,-0.1621701,0.34318253,0.35015392,0.026080547000000003,0.1638108,-0.02223459,-0.11053677,-0.0092216665,-0.011691156000000001,0.28966182,0.007443484,0.27815607,0.28696020000000005,0.15669729,0.5355798,0.23462224,0.32324782,0.52353865,-0.030042388,0.39112529999999995,0.25724715,-0.15050733,0.49133113,-0.005618299,-0.09405651,0.2805348,0.575581,0.119451776,0.43799794,0.7170426,0.17906733,0.46551320000000007,0.56005526,0.18955126,0.47820958,0.61316264,0.15660575,0.45095509999999994,0.6132635000000001,0.22050247,0.41679659999999996,0.6667719,0.08648632,0.355943,0.6675104000000001,0.23096743,-0.033910498023033135,0.26602372527122503,-0.039540022611618035
4,-0.09796976,-0.10126808,0.09576514,0.2510889,0.088120036,0.28981876,-0.09812332,0.27587754,0.08606394,0.035129104,0.27255085,-0.16688243,0.37937292,0.27608693,0.0185556,0.14327079999999998,-0.09087688,-0.07116323,0.024129987000000002,-0.004125791,0.30057824,0.028576288,0.2896574,0.28386107,0.18841493,0.54386485,0.21890917,0.3466308,0.5146322,-0.05352283,0.39215140000000004,0.23915158,-0.1756188,0.483792,-0.025910461,-0.09794341,0.31211314,0.5718293999999999,0.0989742,0.4845068,0.7002629,0.15510732,0.49736959999999997,0.5409814000000001,0.17352669,0.5148090999999999,0.59133697,0.13803221,0.48723412,0.597362,0.20180188,0.45899794,0.6474318,0.06351521,0.39629716,0.66076916,0.20882645,-0.031497105956077576,0.2742142081260681,-0.04040924459695816
5,-0.16336566,-0.17184602,0.07257517,0.16533378,0.021619936,0.31191757,-0.10704094,0.28924012,0.07293647,0.05708764,0.27494234,-0.16014981,0.36835924,0.2147739,0.07680589,0.16790015,-0.17615213,-0.04070114,0.010601293000000001,-0.0155423125,0.28973135,0.023681442999999996,0.27872267,0.28484970000000004,0.19776839999999998,0.53094137,0.24452533,0.3617238,0.5050725,-0.035233423,0.33373868,0.24168944,-0.18798465,0.39686087,-0.028990352999999996,-0.10557238,0.33214992,0.556864,0.12689245,0.5320628000000001,0.6525798,0.18621339,0.50801015,0.49454618,0.19578543,0.53542525,0.5415476,0.16209026,0.51253533,0.550076,0.22736079,0.49130645,0.6131349,0.093367875,0.43821270000000007,0.6321141,0.24333009,-0.024976650252938267,0.2820912301540375,-0.04360667243599892
6,-0.29238284,-0.11914514,0.036926307,0.1007432,-0.10445022,0.22606203,-0.09840428,0.2831438,0.07648621,0.061693463,0.27063864,-0.15114184,0.33531395,0.17974489999999999,0.10134084,0.22251068,-0.23840496,-0.020361076999999998,-0.02574633,0.0008565024,0.27348384,0.020079885,0.2817614,0.27879795,0.2256989,0.49601603,0.24396233,0.3777718,0.45422876,-0.029327187999999997,0.35050523,0.19366875,-0.17279476,0.41525406,-0.073259726,-0.11208863599999999,0.35580924,0.5128514,0.12554698,0.53553194,0.6321167,0.16760854,0.5454674,0.47462723,0.17852776,0.55981445,0.5249724,0.14305483,0.5422775,0.52925736,0.20963714,0.49649426,0.5837225,0.08086207,0.45628107,0.59293795,0.23229867,-0.018355408683419228,0.27689123153686523,-0.03732781484723091
7,-0.21741165,-0.22471769,0.09412887,0.15028812,-0.037225075,0.24808066,-0.09566641,0.29561293,0.07711038,0.05639635,0.2667386,-0.15358205,0.34116779999999997,0.12825339,0.07326191,0.22324868,-0.29807588,-0.027668562,0.0030745855,0.039799698,0.32314533,0.024544833,0.31775007,0.28813940000000005,0.24886411,0.5041132,0.22736126,0.38337140000000003,0.43241620000000003,-0.052616775,0.30516583,0.17921410000000002,-0.19037716,0.37103754,-0.075952366,-0.10358782,0.37490675,0.50339925,0.10302806,0.55177575,0.6273493,0.13841693,0.56471294,0.47247684,0.16997129,0.5802765000000001,0.5185568,0.12959188,0.5577073,0.53053373,0.19361985,0.5203770999999999,0.5665736,0.055112664000000006,0.46887758,0.59359944,0.20188543,-0.019635029137134552,0.28117576241493225,-0.03823583573102951
8,-0.15812764,-0.30890703,0.19953156,0.16200428,0.0033336158,0.26714087,-0.09162473,0.305973,0.07487264,0.055814788,0.2576699,-0.15423186,0.3303835,0.09900562,0.08586895,0.18505242,-0.33009398,0.023351092,-0.03552835,0.078020975,0.32429725,-0.007405969300000001,0.3508093,0.26666936,0.24259642,0.50974613,0.22380397,0.38773355,0.4332334,-0.054114524000000004,0.29089899999999996,0.20169735,-0.21850570000000002,0.36093259999999994,-0.05874804,-0.15502979999999997,0.37824276,0.49964234,0.104300514,0.57477516,0.5964546,0.14767504,0.56363136,0.43839502,0.15431227,0.5837323,0.48740032,0.120202966,0.56845,0.49227962,0.18723044,0.52776265,0.5553891,0.060545284000000005,0.49192265,0.56648886,0.21436787,-0.017904970794916153,0.2818214297294617,-0.03967960923910141
9,-0.025937112000000002,-0.2998022,0.24285227,0.20484161,0.08391836,0.269573,-0.09508684,0.30755824,0.07080586,0.05385654,0.25283623,-0.15362433,0.32828233,0.12387141,0.10206689,0.20044345,-0.30643007,0.04818496,-0.11409932,0.14233707,0.22903724,-0.03178586,0.4086178,0.22478179999999998,0.23360509999999998,0.5364914000000001,0.20535088,0.37704542,0.44515055,-0.071237534,0.25770170000000003,0.22117843,-0.22704157,0.2812469,-0.048724126,-0.1754549,0.36916867,0.52046263,0.08506801,0.55539834,0.632259,0.12770571,0.5558460999999999,0.47462089999999996,0.14294690000000002,0.57396793,0.5232661,0.10720386,0.5546508000000001,0.53048927,0.1728135,0.5164166,0.582518,0.040622942,0.4719818,0.59950346,0.19157724,-0.02061515115201473,0.28019723296165466,-0.04140923172235489
10,0.05484828,-0.29469782,0.19286525,0.26561618,0.09853541,0.21445177,-0.07735952,0.30769795,0.085053146,0.033486154,0.25239834,-0.16036741,0.3310473,0.09626974,0.07374964,0.10147607,-0.2810258,0.016961748000000002,-0.096012965,0.14480132,0.24886364,0.0068067415000000004,0.40298983,0.23095249,0.2679636,0.5280149000000001,0.17677167,0.37383538,0.44078359999999994,-0.11485156,0.23559248,0.21414104,-0.24737796,0.26980442,-0.054951377,-0.20088157,0.38520370000000004,0.5129282000000001,0.042509995,0.57761765,0.6168142,0.077950604,0.56994283,0.45961,0.09769623,0.590712,0.50615394,0.060648512,0.5713265000000001,0.5161382999999999,0.12576404,0.5366286,0.56661296,-0.008228784,0.49266922,0.58972824,0.14102222,-0.021936682984232903,0.28004813194274897,-0.037657134234905236
